AtomicSymbol,Z,AtomicMass,AtomicNumber,AtomicRadius,Block,BoilingPoint,CovalentRadius,ElectronAffinity,Electronegativity,FusionHeat,MagneticType,MassDensity,MassMagneticSusceptibility,MeltingPoint,MolarHeatCapacity,MolarMagneticSusceptibility,MolarVolume,Phase,SoundSpeed,SpecificFusionHeat,SpecificHeat,SpecificIonizationEnergies,ThermalConductivity,Valence,ValenceElectronCount,VaporizationHeat,VolumeMagneticSusceptibility,MagneticOrdering
Ge,32,0.813673342311096,0.939451122720164,2.2520116989046293,1.0403847833914326,1.7901094904950987,2.722377522772856,1.5231542925038193,3.1814584614762755,2.2190499338340786,-1.2214378516209228,0.6201838601924701,-0.0008567067184142108,1.0676547254849036,2.978933316030182,-0.00038824890354336334,0.0025677664596664824,0.0,1.7858451632908616,0.4299460930475966,0.1986049222899211,0.07471934146979467,0.7486780506597516,2.3001446550990607,1.9184297457235497,1.6090180815019748,-0.0005445786752442689,0.0
As,33,0.8393460638156175,0.9688089703051691,2.053834669401022,1.0403847833914326,0.3897614280723371,2.6996910434164154,0.9983700404646884,3.450537037820041,1.9329460115472947,-1.2214378516209228,0.6672539859707451,-0.0022274374678769478,0.929632218609364,3.136026494598466,-0.0010400796315106614,0.00246193042318379,0.0,,0.363057728072575,0.20268330588392697,0.09001959879112698,0.623898375549793,2.875180818873826,2.3980371821544373,0.15608438874450292,-0.001521817601246518,0.0
Se,34,0.8847115174948309,0.9981668178901743,1.8556576398974147,1.0403847833914326,0.4348315606344477,2.722377522772856,2.4959251011617205,4.036178645156469,0.37681980008503224,-1.2214378516209228,0.5614627131819487,-0.0022845512491045617,0.251467221924932,3.236995078050743,-0.0011255656286211268,0.0030839452190056294,0.0,1.1078854253748864,0.06714737715813579,0.19848133490828457,0.08486255329359363,0.006488543105717847,3.450216982648591,2.877644618585325,0.1252529045480579,-0.0013170887759667161,0.0
Br,35,0.8951639094592567,1.0275246654751793,1.6935127975762814,1.0403847833914326,0.037452645368514476,2.722377522772856,4.154755322241511,4.685132858691431,0.40473237786910865,-1.2214378516209228,0.3635118624460843,-0.0027985752801530884,-0.0083063833486516,9.659506141558195,-0.0027889806557289307,0.004819587512318109,1.5696499307098306,,0.07127913223882507,0.5853716331214757,0.10159968031695873,0.0014973561013195032,2.875180818873826,3.3572520550162124,0.07129780720427913,-0.0010441170089269826,0.0
Kr,36,0.9387883620953494,1.0568825130601844,1.585416236028859,1.0403847833914326,-0.0972626156502337,2.6316316053470943,0.0,4.748445464889964,0.11444156891471348,-1.2214378516209228,0.0004369132962092359,-0.002513006374015018,-0.17905376489641314,2.6525999055677665,-0.0013143472055734042,4.205313036959578,3.139299861419661,0.3703975153492157,0.01921821844804577,0.1532792500747198,0.11480254265054064,0.00011766723362869095,1.1500723275495304,3.8368594914470995,0.0434531230393647,-1.1260085390389034e-06,0.0
Rb,37,0.9574951189037078,1.0862403606451896,4.774264801677814,0.0,0.43673593243284675,4.991025458416902,0.6003019858691523,1.2979084270699235,0.15282136336781862,1.2214378516209228,0.17849364527801317,0.0014849583119179652,0.04472930540212252,3.970112136754412,0.0007907454732718043,0.010498800990579546,0.0,0.42992568745891113,0.025161963080671923,0.22492903457850433,0.03358123234090862,0.7237221156377599,0.5750361637747652,0.47960743643088743,0.34685419721000654,0.0002716069082045354,0.0
Sr,38,0.9816061992743802,1.1155982082301947,3.945524496480911,0.0,0.8772806084624917,4.423863474505891,0.06438206799406901,1.5036743972151552,0.5582515556815292,1.2214378516209228,0.30642185840807745,0.0007539019122045055,0.884117789301684,3.3544658007031476,0.000413182319367249,0.006269652120698148,0.0,,0.089658128476589,0.18538107245481125,0.044664096829749755,0.4367288628848551,1.1500723275495304,0.9592148728617749,0.6599864585801513,0.00023680300790696886,0.0
Y,39,0.9960114326921224,1.1449560558151999,3.8194118413422515,2.080769566782865,2.123374555214931,4.310431077723688,0.3788686307404458,1.931034489055252,0.7955084668461792,1.2214378516209228,0.5210336695060541,0.03803777829759095,1.736375478087992,3.381001929898433,0.021090107870461047,0.0037413163231660848,0.0,1.091349822011082,0.1259150066451674,0.18414519863844583,0.048063464158173114,0.21212544768692962,1.7251084913242956,0.9592148728617749,1.8306193741639234,0.020322748056108206,0.0
Zr,40,1.0219817840973073,1.174313903400205,3.7113152797948294,2.080769566782865,2.7987917530471242,3.9701338873770817,0.5260642136294704,2.1051441561012174,1.465410333664014,1.2214378516209228,0.758597992431556,0.009595115246239159,2.11073165914366,3.2363297999136273,0.005449732315792164,0.0026366796041787707,0.0,1.2567058556491248,0.22605447793274425,0.17178646047479176,0.04997270109862325,0.28699325275290477,2.3001446550990607,0.9592148728617749,2.79410325530283,0.007438480651832756,0.0
Nb,41,1.0408293625208775,1.2036717509852102,3.567186531064933,2.080769566782865,3.0114466038683503,3.7205826144562364,1.102046929282175,2.5325042479413145,1.8701427115331228,1.2214378516209228,0.9984925196035072,0.015763403618821475,2.818481034878084,3.1418846085598915,0.009118506358449633,0.002040143019465302,0.0,1.1508779941207774,0.2832645541672518,0.1637532806684166,0.04998766110554801,0.6738102455937764,2.875180818873826,0.47960743643088743,3.324019389929229,0.01617357719710425,0.0
